Commodities,Sector,Nation,Impact,Direct Impact,Inverse Impact
1100 TC,Shipping,Global,,,
1700 TC,Shipping,Global,,,
Alumina,Metals,Global,,,
Aluminum,Metals,Global,NSH,NSH,
Asia Crack Spread,Energy,Global,,,
Asian LNG,Energy,Global,,,
Aus Met Coal,Metals,Global,HPG,,HPG
Australia Coal,Energy,Global,,,
Baltic Clean,Shipping,Global,PVT,PVT,
Baltic Dirty,Shipping,Global,PVT,PVT,
Baltic Dry,Shipping,Global,"VOS, VNA","VOS, VNA",
Baltic Handysize,Shipping,Global,"VOS, VNA","VOS, VNA",
Brent,Energy,Global,"GAS, PVD, PVS","GAS, PVD, PVS",
China Bismuth,Metals,China,MSR,MSR,
China Caustic Soda,Chemicals,China,,,
China Fluorspar,Metals,China,MSR,MSR,
China HRC,Metals,China,"HPG, HSG, NKG","HPG, HSG, NKG",
China Long steel,Metals,China,HPG,HPG,
China Thermal Coal,Energy,China,"TC6, TVD, NBC, THT, TDN","TC6, TVD, NBC, THT, TDN",
China Tungsten,Metals,China,MSR,MSR,
China Urea,Fertilizers,China,"DPM, DCM","DPM, DCM",
China Urea 2,Fertilizers,China,,,
China Urea Futures,Fertilizers,China,,,
China Urea Prill,Fertilizers,China,"DPM, DCM","DPM, DCM",
DAP China,Fertilizers,China,,,
DAP US,Fertilizers,US,DDV,DDV,
EU Natural Gas,Energy,Global,,,
Gold,Metals,Global,,,
Indo Urea,Fertilizers,Global,,,
International Rig Count,Energy,Global,,,
Jet Fuel ,Energy,Global,"VJC, HVN, PLX",PLX,"VJC, HVN"
Malting Barley - Australia,Agriculture,Aus,,,
Malting Barley - France,Agriculture,France,,,
Marine Fuel Oil,Energy,Global,,,
MOP China,Fertilizers,China,,,
Ore 62,Metals,Global,HPG,,HPG
Palm Oil,Agriculture,Global,,,
Potash US,Fertilizers,US,,,
PVC Contract SEA,Plastics,Global,,,
PVC Spot SEA,Plastics,Global,"BMP, NTP",,"BMP, NTP"
Rice VN Exports,Agriculture,VN,LTG,LTG,
Scrap,Metals,Global,,,
SE Asia PE,Plastics,Global,,,
SE Asia PS,Plastics,Global,,,
Shanghai Container Index,Shipping,China,HAH,HAH,
Silver,Metals,Global,,,
Singapore Fuel 380,Energy,Singapore,"DPM, DCM, GAS",GAS,"DPM, DCM"
skim milk powder,Milk,Global,VNM,,VNM
Sugar,Agriculture,Global,"QNS, LSS, SBT, SLS","QNS, LSS, SBT, SLS",
Ure Brazil Future,Fertilizers,Global,,,
Ure Middle East Future,Fertilizers,Global,,,
Ure US Gulf Future,Fertilizers,US,,,
Urea Middle East,Fertilizers,Global,,,
Urea US,Fertilizers,US,,,
US Amonia,Fertilizers,US,DPM,DPM,
US Crack Spread,Energy,US,,,
US Natural Gas,Energy,US,,,
US Rig Count,Energy,US,,,
Very Low Sulfur Fuel Oil,Shipping,Global,"HAH, VOS, VNA",,"HAH, VOS, VNA"
whole milk powder,Milk,Global,VNM,,VNM
WTI,Energy,Global,,,
